date,hour,visitors
20130224,19,8
20130224,20,16
20130224,21,11
20130224,22,15
20130224,23,17
20130223,0,11
20130223,1,10
20130223,2,7
20130223,3,2
20130223,4,2
20130223,5,4
20130223,6,2
20130223,8,5
20130223,9,2
20130223,10,41
20130223,11,13
20130223,12,8
20130223,13,19
20130223,14,13
20130223,15,11
20130223,16,13
20130223,17,15
20130223,18,21
20130223,19,13
20130223,20,12
20130223,21,16
20130223,22,19
20130223,23,19
20130222,0,19
20130222,1,7
20130222,2,13
20130222,3,2
20130222,4,3
20130222,6,5
20130222,7,18
20130222,8,5
20130222,9,15
20130222,10,43
20130222,11,50
20130222,12,18
20130222,13,43
20130222,14,27
20130222,15,35
20130222,16,37
20130222,17,18
20130222,18,42
20130222,19,61
20130222,20,47
20130222,21,19
20130222,22,22
20130222,23,29
20130221,0,13
20130221,1,11
20130221,2,14
20130221,3,2
20130221,4,1
20130221,5,2
20130221,6,8
20130221,7,7
20130221,8,11
20130221,9,20
20130221,10,15
20130221,11,33
20130221,12,15
20130221,13,16
20130221,14,35
20130221,15,35
20130221,16,51
20130221,17,40
20130221,18,23
20130221,19,39
20130221,20,15
20130221,21,27
20130221,22,16
20130221,23,40
20130220,0,15
20130220,1,2
20130220,2,6
20130220,3,6
20130220,4,1
20130220,5,3
20130220,6,2
20130220,7,5
20130220,8,7
20130220,9,19
20130220,10,35
20130220,11,24
20130220,12,17
20130220,13,28
20130220,14,12
20130220,15,18
20130220,16,25
20130220,17,27
20130220,18,24
20130220,19,19
20130220,20,14
20130220,21,19
20130220,22,19
20130220,23,18
20130219,0,17
20130219,1,17
20130219,2,6
20130219,3,3
20130219,4,4
20130219,5,2
20130219,6,1
20130219,7,6
20130219,8,9
20130219,9,19
20130219,10,45
20130219,11,34
20130219,12,26
20130219,13,34
20130219,14,30
20130219,15,35
20130219,16,30
20130219,17,18
20130219,18,25
20130219,19,27
20130219,20,14
20130219,21,15
20130219,22,16
20130219,23,19
20130218,0,38
20130218,1,20
20130218,2,7
20130218,3,6
20130218,4,1
20130218,5,3
20130218,6,7
20130218,7,4
20130218,8,11
20130218,9,13
20130218,10,27
20130218,11,46
20130218,12,48
20130218,13,54
20130218,14,41
20130218,15,39
20130218,16,26
20130218,17,31
20130218,18,31
20130218,19,27
20130218,20,23
20130218,21,39
20130218,22,23
20130218,23,15
20130217,0,14
20130217,1,29
20130217,2,6
20130217,3,4
20130217,4,4
